drug_name,conc,ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
bepridil,0,2735,0.7777,NA,NA,NA,NA,2824,1.262,1949,1.198,NA,NA,203.8,0.7727
bepridil,0,3128,0.5688,NA,NA,NA,NA,2820,1.003,1842,1.487,NA,NA,92.84,1.262
bepridil,0,7451,0.5044,NA,NA,NA,NA,3887,1.133,1883,1.321,NA,NA,104.1,0.5484
bepridil,0,3003,0.5781,NA,NA,NA,NA,3244,1.137,1791,1.606,NA,NA,153.4,1.116
bepridil,0,2801,0.5453,NA,NA,NA,NA,2806,1.67,1680,1.534,NA,NA,134.3,0.681
bepridil,0,2239,0.7068,NA,NA,NA,NA,3230,1.66,2087,1.302,NA,NA,91.24,0.8816
bepridil,0,1750,0.7552,NA,NA,NA,NA,2074,1.353,1728,1.665,NA,NA,97.74,0.7861
bepridil,0,4432,0.6063,NA,NA,NA,NA,2819,1.327,1976,1.388,NA,NA,247.8,1.191
bepridil,0,2840,0.5884,NA,NA,NA,NA,4965,0.5846,1733,1.281,NA,NA,124,0.6975
bepridil,0,3315,0.5096,NA,NA,NA,NA,3169,1.039,1726,1.283,NA,NA,145.8,0.8671
bepridil,0,3859,0.4507,NA,NA,NA,NA,3886,1.032,1786,1.614,NA,NA,226.4,1.197
bepridil,0,3493,0.6984,NA,NA,NA,NA,3071,1.121,2375,1.195,NA,NA,139.3,0.8476
bepridil,0,2378,0.6289,NA,NA,NA,NA,2865,1.161,1933,1.397,NA,NA,118.1,0.9025
bepridil,0,2902,0.7123,NA,NA,NA,NA,2891,1.257,1669,1.543,NA,NA,260.2,0.5452
bepridil,0,2330,0.6863,NA,NA,NA,NA,2907,1.066,1839,1.598,NA,NA,147.7,0.8412
bepridil,0,2796,0.5982,NA,NA,NA,NA,3310,0.9994,1691,1.509,NA,NA,222.6,1.198
bepridil,0,2772,0.5436,NA,NA,NA,NA,3289,1.179,1559,1.361,NA,NA,92.94,0.9276
bepridil,0,2234,0.9138,NA,NA,NA,NA,3209,0.9891,1889,1.254,NA,NA,169.2,1.911
bepridil,0,3379,0.5919,NA,NA,NA,NA,3389,1.287,1852,1.014,NA,NA,181.4,1.856
bepridil,0,2449,0.7015,NA,NA,NA,NA,2417,1.69,1601,1.334,NA,NA,90.38,0.6172
bepridil,0,3285,0.6336,NA,NA,NA,NA,2694,1.881,1911,1.5,NA,NA,180.9,0.683
bepridil,0,2459,0.7292,NA,NA,NA,NA,2757,1.469,2023,1.68,NA,NA,134.3,0.6144
bepridil,0,2759,0.8445,NA,NA,NA,NA,3253,1.198,1822,1.414,NA,NA,131.2,0.8639
bepridil,0,3194,0.5245,NA,NA,NA,NA,3152,1.157,1886,1.264,NA,NA,204.4,0.9733
bepridil,0,2602,0.7901,NA,NA,NA,NA,3281,0.9329,1855,1.302,NA,NA,206,1.068
bepridil,0,2559,0.6623,NA,NA,NA,NA,3635,0.9868,1897,1.401,NA,NA,128.5,0.7311
bepridil,0,2266,0.7086,NA,NA,NA,NA,3439,1.135,1921,1.492,NA,NA,183.2,1.255
bepridil,0,2689,0.6139,NA,NA,NA,NA,3063,1.14,1706,1.626,NA,NA,158.4,0.8892
bepridil,0,2708,0.6419,NA,NA,NA,NA,3106,1.164,1721,1.354,NA,NA,144.6,0.9957
bepridil,0,2500,0.7313,NA,NA,NA,NA,2616,1.035,1781,1.381,NA,NA,189.9,0.6991
bepridil,0,2844,0.6713,NA,NA,NA,NA,3491,1.096,1848,1.57,NA,NA,167.7,2.978
bepridil,0,2191,0.8006,NA,NA,NA,NA,2366,1.239,1770,1.393,NA,NA,167.6,4.019
bepridil,0,2984,0.655,NA,NA,NA,NA,3544,1.051,1756,1.496,NA,NA,170.2,4.643
bepridil,0,3193,0.6024,NA,NA,NA,NA,2913,0.9757,1785,1.626,NA,NA,176.3,3.118
bepridil,0,4178,0.4357,NA,NA,NA,NA,2686,1.032,1773,1.319,NA,NA,174.3,1.214
bepridil,0,3359,0.6201,NA,NA,NA,NA,3545,0.8239,1737,1.449,NA,NA,144.1,1.057
bepridil,0,2041,0.7514,NA,NA,NA,NA,2889,1.386,1882,1.457,NA,NA,204.8,1.239
bepridil,0,3193,0.7084,NA,NA,NA,NA,2568,1.422,1727,1.505,NA,NA,178.9,1.719
bepridil,0,2580,0.7346,NA,NA,NA,NA,2984,1.18,1741,1.562,NA,NA,156.8,1.415
bepridil,0,4411,0.5449,NA,NA,NA,NA,3118,1.17,1700,1.174,NA,NA,137.2,0.7664
bepridil,0,2467,0.6747,NA,NA,NA,NA,2567,1.246,1702,1.715,NA,NA,159.4,0.829
bepridil,0,3121,0.662,NA,NA,NA,NA,2813,1.173,1668,1.367,NA,NA,177.4,0.7403
bepridil,0,2743,0.6032,NA,NA,NA,NA,3107,1.148,1834,1.167,NA,NA,131.3,1.101
bepridil,0,2247,0.5871,NA,NA,NA,NA,3012,1.086,2011,1.484,NA,NA,146.2,0.7983
bepridil,0,2547,0.6645,NA,NA,NA,NA,2734,1.453,1883,1.56,NA,NA,150.4,0.9216
bepridil,0,2895,0.7213,NA,NA,NA,NA,2737,1.63,1846,1.412,NA,NA,148.2,0.887
bepridil,0,3011,0.5518,NA,NA,NA,NA,3087,1.093,1981,1.204,NA,NA,157.7,0.7965
bepridil,0,2610,0.7711,NA,NA,NA,NA,2957,1.758,1743,1.403,NA,NA,125.4,1.277
bepridil,0,2283,0.6943,NA,NA,NA,NA,2562,1.36,1859,1.123,NA,NA,164.6,0.8022
bepridil,0,2332,0.766,NA,NA,NA,NA,2872,1.072,2059,1.265,NA,NA,119.3,0.6169
bepridil,0,1978,0.7371,NA,NA,NA,NA,2491,1.54,1949,1.715,NA,NA,121.3,0.8749
bepridil,0,4972,0.4482,NA,NA,NA,NA,3078,1.081,1582,1.602,NA,NA,125.4,1.291
bepridil,0,2558,0.772,NA,NA,NA,NA,3106,1.342,1772,1.504,NA,NA,111.3,0.7387
bepridil,0,3118,0.5977,NA,NA,NA,NA,2796,1.676,1571,1.592,NA,NA,207.1,1.019
bepridil,0,2966,0.7099,NA,NA,NA,NA,2485,1.083,1617,1.497,NA,NA,159.7,0.9337
bepridil,0,3485,0.6089,NA,NA,NA,NA,2882,1.377,1701,1.817,NA,NA,190.9,0.7388
bepridil,0,2817,0.4439,NA,NA,NA,NA,2758,1.199,2042,1.214,NA,NA,180.7,0.95
bepridil,0,4280,0.5556,NA,NA,NA,NA,3168,1.212,1626,1.66,NA,NA,204.9,0.7698
bepridil,0,2489,0.6312,NA,NA,NA,NA,3329,0.842,2067,1.369,NA,NA,130.6,1.411
bepridil,0,2925,0.6287,NA,NA,NA,NA,3479,0.8835,1650,1.498,NA,NA,195.7,0.5668
bepridil,0,3190,0.5784,NA,NA,NA,NA,3129,1.147,1963,1.309,NA,NA,152.2,0.7492
bepridil,0,4522,0.4993,NA,NA,NA,NA,3112,1.025,1674,1.364,NA,NA,124.9,0.8967
bepridil,0,3490,0.6456,NA,NA,NA,NA,2776,1.143,1839,1.264,NA,NA,175.5,0.8527
bepridil,0,2187,1.005,NA,NA,NA,NA,3065,1.431,1602,1.274,NA,NA,163.8,0.708
bepridil,0,4576,0.4925,NA,NA,NA,NA,2696,1.064,1669,1.787,NA,NA,125.5,0.9079
bepridil,0,3961,0.4899,NA,NA,NA,NA,3018,1.171,1742,1.281,NA,NA,127.7,0.9692
bepridil,0,2656,0.7182,NA,NA,NA,NA,3123,0.8541,1765,1.387,NA,NA,176.5,1.16
bepridil,0,3362,0.5775,NA,NA,NA,NA,2868,1.253,1900,1.225,NA,NA,165.4,1.413
bepridil,0,2862,0.485,NA,NA,NA,NA,2796,1.545,1887,1.486,NA,NA,134.4,0.9787
bepridil,0,3794,0.4965,NA,NA,NA,NA,2565,1.298,1769,1.322,NA,NA,179.5,0.8536
bepridil,0,3895,0.5886,NA,NA,NA,NA,2818,1.223,1780,1.352,NA,NA,151,0.8518
bepridil,0,2872,0.6496,NA,NA,NA,NA,3053,0.8972,1798,1.297,NA,NA,155.1,1.251
bepridil,0,2493,0.697,NA,NA,NA,NA,2552,1.206,1673,1.329,NA,NA,146.2,0.6671
bepridil,0,2296,0.7018,NA,NA,NA,NA,3680,1.072,1740,1.399,NA,NA,150.7,1.148
bepridil,0,3274,0.624,NA,NA,NA,NA,3204,1.438,1812,1.145,NA,NA,164.2,0.9839
bepridil,0,2356,0.7561,NA,NA,NA,NA,3022,1.475,2023,1.973,NA,NA,117.9,1.48
bepridil,0,1787,0.8125,NA,NA,NA,NA,3668,0.7902,1984,1.632,NA,NA,412.1,0.6204
bepridil,0,2623,0.5566,NA,NA,NA,NA,3035,1.351,1810,1.562,NA,NA,192.4,1.731
bepridil,0,2984,0.7439,NA,NA,NA,NA,2912,1.467,1805,1.427,NA,NA,224.9,1.081
bepridil,0,3450,0.5731,NA,NA,NA,NA,2819,1.221,1749,1.267,NA,NA,162.4,1.327
bepridil,0,2288,0.6747,NA,NA,NA,NA,2472,1.518,1893,1.444,NA,NA,167.2,0.8139
bepridil,0,2313,0.6444,NA,NA,NA,NA,3338,1.057,2083,1.15,NA,NA,141.5,0.8977
bepridil,0,2324,0.8473,NA,NA,NA,NA,3976,1.066,1913,1.402,NA,NA,147.7,0.7555
bepridil,0,2663,0.8617,NA,NA,NA,NA,3147,0.9486,2114,1.472,NA,NA,122.1,0.6675
bepridil,0,3346,0.8324,NA,NA,NA,NA,2609,1.203,1678,1.292,NA,NA,136.3,0.9252
bepridil,0,2361,0.9844,NA,NA,NA,NA,2606,1.448,1887,1.413,NA,NA,114,0.9833
bepridil,0,2367,0.8516,NA,NA,NA,NA,2997,1.25,1770,1.413,NA,NA,122.2,0.9884
bepridil,0,2704,0.5826,NA,NA,NA,NA,3494,0.9948,1572,1.102,NA,NA,145.6,0.8592
bepridil,0,2622,0.5503,NA,NA,NA,NA,2656,1.382,1704,1.503,NA,NA,145.4,0.9656
bepridil,0,2588,0.6708,NA,NA,NA,NA,3084,1.457,1655,1.69,NA,NA,127.9,1.044
bepridil,0,2617,0.6413,NA,NA,NA,NA,3241,1.059,1929,1.152,NA,NA,141.7,1.113
bepridil,0,2989,0.7125,NA,NA,NA,NA,2692,1.17,1802,1.227,NA,NA,141.4,0.6594
bepridil,0,2554,0.7049,NA,NA,NA,NA,3172,0.8994,1750,1.413,NA,NA,169.8,0.8831
bepridil,0,2631,0.6567,NA,NA,NA,NA,3086,1.001,1928,1.43,NA,NA,196.5,1.129
bepridil,0,2470,0.5978,NA,NA,NA,NA,2813,1.173,1762,1.511,NA,NA,164.5,1.014
bepridil,0,2641,0.6867,NA,NA,NA,NA,3247,1.053,1687,1.213,NA,NA,173.5,0.9598
bepridil,0,2566,0.6723,NA,NA,NA,NA,2951,1.335,1825,1.377,NA,NA,195.8,0.7598
bepridil,0,2905,0.6808,NA,NA,NA,NA,2949,1.411,1684,1.48,NA,NA,116.5,0.8742
bepridil,0,5047,0.4887,NA,NA,NA,NA,2915,0.8525,1719,1.646,NA,NA,139.7,0.8429
bepridil,0,2530,0.6193,NA,NA,NA,NA,2859,1.18,2069,1.289,NA,NA,207.1,1.033
bepridil,0,2238,0.5668,NA,NA,NA,NA,2983,0.8447,1818,1.627,NA,NA,134.8,1.057
bepridil,0,3099,0.8033,NA,NA,NA,NA,2630,1.283,1830,1.408,NA,NA,122.9,1.244
bepridil,0,2567,0.7328,NA,NA,NA,NA,3126,0.9322,1932,1.475,NA,NA,95.83,0.7543
