drug_name,conc,ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
verapamil,81,251.4,1.236,NA,NA,NA,NA,6.65E+09,2.146,4576,1.673,NA,NA,543.2,1.122
verapamil,81,190.2,1.135,NA,NA,NA,NA,611300000,6.937,4389,1.2,NA,NA,505.6,1.019
verapamil,81,216.6,1.058,NA,NA,NA,NA,1.50E+09,9.133,5538,1.227,NA,NA,451.6,1.002
verapamil,81,213.7,1.012,NA,NA,NA,NA,48010,9.367,3676,1.743,NA,NA,539.3,0.9445
verapamil,81,209.1,1.234,NA,NA,NA,NA,734600,2.021,119100,8.714,NA,NA,549.3,1.352
verapamil,81,218.8,1.143,NA,NA,NA,NA,232200000,2.343,1.78E+09,5.387,NA,NA,528.4,1.272
verapamil,81,222,1.059,NA,NA,NA,NA,968300000,1.015,1.69E+09,0.1933,NA,NA,452.7,1.041
verapamil,81,202.2,1.16,NA,NA,NA,NA,5.42E+09,6.257,9006,1.526,NA,NA,477.2,1.079
verapamil,81,222.2,1.019,NA,NA,NA,NA,300300000,0.5965,46230,0.7318,NA,NA,426.3,1.027
verapamil,81,205.9,1.014,NA,NA,NA,NA,1839,8.281,12180,0.8992,NA,NA,453.9,1.077
verapamil,81,235.7,0.815,NA,NA,NA,NA,35560,7.398,2622,2.043,NA,NA,506.2,1.233
verapamil,81,262.3,0.7959,NA,NA,NA,NA,14970,8.513,816700000,8.599,NA,NA,491,1.093
verapamil,81,199.7,1.097,NA,NA,NA,NA,1.18E+09,0.9546,3001,1.713,NA,NA,510,1.315
verapamil,81,227.7,1.073,NA,NA,NA,NA,286500000,6.87,1872,2.749,NA,NA,457.9,1.118
verapamil,81,192.5,1.171,NA,NA,NA,NA,341200,5.742,1872,2.749,NA,NA,533.3,1.09
verapamil,81,234.4,1.295,NA,NA,NA,NA,103000,8.117,1872,2.749,NA,NA,535,0.962
verapamil,81,170.8,1.156,NA,NA,NA,NA,8843,2.28,1.04E+09,6.594,NA,NA,502.4,1.09
verapamil,81,204.6,0.9717,NA,NA,NA,NA,32780000,9.077,13870000,8.404,NA,NA,469.6,1.08
verapamil,81,191.4,1.16,NA,NA,NA,NA,9.71E+09,1.001,5878,3.543,NA,NA,497.3,1.226
verapamil,81,164.4,1.187,NA,NA,NA,NA,12290000,1.36,143800,9.794,NA,NA,507.4,1.222
verapamil,81,208.8,1.015,NA,NA,NA,NA,1.89E+09,8.131,30050,0.6713,NA,NA,545.5,1.129
verapamil,81,213.4,1.087,NA,NA,NA,NA,7.13E+09,0.8337,37440,1.705,NA,NA,474.5,0.9254
verapamil,81,220.2,1.069,NA,NA,NA,NA,69540,6.354,3138000,2.605,NA,NA,536.4,0.9562
verapamil,81,210.9,0.8904,NA,NA,NA,NA,16740,9.747,1.33E+09,1.302,NA,NA,453.5,0.921
verapamil,81,196.7,0.9974,NA,NA,NA,NA,1806,8.612,2750,6.582,NA,NA,370.4,1.016
verapamil,81,204.6,1.07,NA,NA,NA,NA,54060,3.714,2967000,7.443,NA,NA,445.8,1.152
verapamil,81,228.7,1.355,NA,NA,NA,NA,47190000,0.4746,56950,0.4704,NA,NA,471.8,1.198
verapamil,81,230.7,1.433,NA,NA,NA,NA,8296,2.213,6343,2.044,NA,NA,501.2,1.101
verapamil,81,208.4,1.057,NA,NA,NA,NA,6575,2.874,10090000,0.3775,NA,NA,450.3,1.031
verapamil,81,210.5,1.218,NA,NA,NA,NA,1.32E+09,7.612,31940,1.153,NA,NA,477.6,1.217
verapamil,81,187.5,1.113,NA,NA,NA,NA,4460,7.724,38110000,0.2502,NA,NA,492.3,1.406
verapamil,81,208.9,1.239,NA,NA,NA,NA,787700000,5.929,50190000,0.2186,NA,NA,515.3,0.9592
verapamil,81,203.7,1.183,NA,NA,NA,NA,19520000,6.863,14010,0.9963,NA,NA,613,1.069
verapamil,81,245.5,0.9058,NA,NA,NA,NA,38810,5.412,2823,1.885,NA,NA,487.6,1.073
verapamil,81,235.6,1.031,NA,NA,NA,NA,8.10E+09,6.036,2823,1.885,NA,NA,452.7,1.411
verapamil,81,209.5,1.046,NA,NA,NA,NA,24860000,7.651,3426,1.62,NA,NA,435.5,1.274
verapamil,81,240.3,1.004,NA,NA,NA,NA,52610000,8.426,3426,1.62,NA,NA,439.3,1.112
verapamil,81,216.5,1.311,NA,NA,NA,NA,15940,1.721,7013,1.132,NA,NA,503.5,1.149
verapamil,81,197.5,1.115,NA,NA,NA,NA,30360,1.488,149700,0.7056,NA,NA,499.3,1.118
verapamil,81,218.5,1.07,NA,NA,NA,NA,30360,1.488,40970000,2.004,NA,NA,460.2,1.107
verapamil,81,166.2,1.127,NA,NA,NA,NA,3.49E+09,1.964,1.53E+09,9.862,NA,NA,462.9,1.325
verapamil,81,208.9,1.058,NA,NA,NA,NA,771200000,1.158,2750000,0.8766,NA,NA,562.1,1
verapamil,81,170.5,0.9954,NA,NA,NA,NA,408700000,0.4215,1.15E+09,2.477,NA,NA,451.8,0.9708
verapamil,81,183.9,1.361,NA,NA,NA,NA,12220000,0.569,1678,5.495,NA,NA,527.3,1.249
verapamil,81,222.5,1.089,NA,NA,NA,NA,12220000,0.569,1315,5.567,NA,NA,512.7,1.38
verapamil,81,217.9,1.127,NA,NA,NA,NA,23440000,0.5716,2887000,0.3332,NA,NA,506.8,1.092
verapamil,81,157.9,1.003,NA,NA,NA,NA,122600000,0.8337,826600,0.3166,NA,NA,474.7,1.018
verapamil,81,202,0.9069,NA,NA,NA,NA,1.04E+09,0.4632,50080000,1.913,NA,NA,484.8,0.9706
verapamil,81,214.2,1.103,NA,NA,NA,NA,254700000,0.5239,29120000,7.864,NA,NA,398.4,0.9683
verapamil,81,221.6,1.226,NA,NA,NA,NA,2903000,1.437,56550,9.014,NA,NA,552.7,1.011
verapamil,81,253,1.087,NA,NA,NA,NA,2840,8.093,610700000,8.595,NA,NA,507,1.198
verapamil,81,206.1,0.9816,NA,NA,NA,NA,12290000,8.484,15530,8.052,NA,NA,490.7,1.058
verapamil,81,221.6,0.9792,NA,NA,NA,NA,86790,1.373,528200,8.301,NA,NA,453.6,1.205
verapamil,81,203.8,0.9751,NA,NA,NA,NA,19280,6.132,1.29E+09,3.13,NA,NA,467.1,1.023
verapamil,81,208.5,1.367,NA,NA,NA,NA,831900000,0.4655,21370,7.726,NA,NA,522.1,1.06
verapamil,81,194.9,1.43,NA,NA,NA,NA,1.58E+09,4.907,1262,8.503,NA,NA,462.1,1.056
verapamil,81,192.6,1.306,NA,NA,NA,NA,357500,9.856,1569,7.299,NA,NA,497.6,1.107
verapamil,81,214.3,1.004,NA,NA,NA,NA,1757000,0.6859,2400,6.699,NA,NA,579.8,1.201
verapamil,81,200.1,1.087,NA,NA,NA,NA,24490,1.58,1.87E+09,5.736,NA,NA,520.2,1.17
verapamil,81,152.8,0.9445,NA,NA,NA,NA,37650000,2.799,3501000,8.439,NA,NA,416,1.012
verapamil,81,209.8,1.034,NA,NA,NA,NA,11530000,6.436,138400000,3.888,NA,NA,529.2,1.17
verapamil,81,182.6,1.034,NA,NA,NA,NA,1.96E+09,6.63,4669,1.773,NA,NA,523.3,1.148
verapamil,81,211.1,1.131,NA,NA,NA,NA,1613000,2.371,4669,1.773,NA,NA,509.9,1.187
verapamil,81,255.7,1.356,NA,NA,NA,NA,22570,1.982,5026,2.097,NA,NA,437.6,1.25
verapamil,81,266.1,1.302,NA,NA,NA,NA,22310,1.67,2036,1.956,NA,NA,558.5,1.103
verapamil,81,171.2,0.8748,NA,NA,NA,NA,22310,1.67,5694,1.588,NA,NA,496.9,1.05
verapamil,81,221.2,1.137,NA,NA,NA,NA,24160,1.571,44240,1.348,NA,NA,498.3,1.037
verapamil,81,200.6,1.209,NA,NA,NA,NA,1569000,6.4,18030,1.244,NA,NA,555.3,1.143
verapamil,81,180.8,0.9494,NA,NA,NA,NA,2006000,8.582,6097,1.651,NA,NA,589.6,1.459
verapamil,81,231.1,1.207,NA,NA,NA,NA,8552000,0.6743,3494,1.417,NA,NA,561.9,1.64
verapamil,81,218.1,0.9855,NA,NA,NA,NA,16480000,0.5152,4966,1.42,NA,NA,556,1.156
verapamil,81,221.3,1.034,NA,NA,NA,NA,11540,8.355,3875,1.965,NA,NA,552.2,0.9029
verapamil,81,198.4,1.006,NA,NA,NA,NA,1.02E+09,9.51,214700000,2.645,NA,NA,626.6,1.013
verapamil,81,174.2,0.8724,NA,NA,NA,NA,1089000,3.281,45270,5.032,NA,NA,493.7,1.084
verapamil,81,199.6,0.9125,NA,NA,NA,NA,28080000,8.19,6639,1.526,NA,NA,455,1.105
verapamil,81,195.2,1.191,NA,NA,NA,NA,9.85E+08,1.715,219600,0.3608,NA,NA,543.2,1.351
verapamil,81,163.4,0.8784,NA,NA,NA,NA,10100,2.081,988100,0.3846,NA,NA,594.9,1.38
verapamil,81,220.5,0.992,NA,NA,NA,NA,14370000,3.141,317000,0.45,NA,NA,539.9,1.263
verapamil,81,218.5,0.9008,NA,NA,NA,NA,788100000,2.302,1461,4.115,NA,NA,491.8,1.135
verapamil,81,188,0.9683,NA,NA,NA,NA,765000,4.941,1556,3.712,NA,NA,558.9,1.11
verapamil,81,195.1,1.094,NA,NA,NA,NA,44220000,6.33,3.74E+09,4.172,NA,NA,480.1,1.168
verapamil,81,182.3,1.254,NA,NA,NA,NA,31760,3.557,11330000,6.301,NA,NA,454.3,0.9782
verapamil,81,212.6,1.182,NA,NA,NA,NA,1.21E+09,0.8299,24940000,8.831,NA,NA,450.5,1.139
verapamil,81,207.8,1.175,NA,NA,NA,NA,230100000,7.637,345400000,0.9304,NA,NA,496.1,1.141
verapamil,81,208.5,1.056,NA,NA,NA,NA,10770,9.988,3427,1.229,NA,NA,495.6,1.001
verapamil,81,220.1,1.236,NA,NA,NA,NA,1642,9.867,14790,0.8914,NA,NA,533.6,1.181
verapamil,81,161.8,1.142,NA,NA,NA,NA,771000,3.749,14790,0.8914,NA,NA,461.6,1.211
verapamil,81,220.6,0.9757,NA,NA,NA,NA,4958000,9.848,4871,1.464,NA,NA,552.6,1.109
verapamil,81,207.9,0.9677,NA,NA,NA,NA,859200,5.448,3027,1.544,NA,NA,501.7,1.042
verapamil,81,201.8,1.008,NA,NA,NA,NA,2731000,3.562,3027,1.544,NA,NA,481,1.165
verapamil,81,218.8,1.106,NA,NA,NA,NA,870800,9.735,29180,0.6715,NA,NA,514.5,1.189
verapamil,81,190.4,1.146,NA,NA,NA,NA,3760,7.476,18000,0.7585,NA,NA,474.3,0.9799
verapamil,81,241.7,1.04,NA,NA,NA,NA,14750000,0.9,5379,1.606,NA,NA,496.4,1.012
verapamil,81,226.7,1.314,NA,NA,NA,NA,4446,4.182,6828,0.8666,NA,NA,480.9,1.174
verapamil,81,235.3,1.217,NA,NA,NA,NA,253300,7.372,3108,1.408,NA,NA,488.3,1.088
verapamil,81,189.3,1.204,NA,NA,NA,NA,4830,7.355,3507,1.698,NA,NA,546.9,1.133
verapamil,81,216.1,1.099,NA,NA,NA,NA,219900000,4.872,3507,1.698,NA,NA,417,1.092
verapamil,81,187.5,1.043,NA,NA,NA,NA,5216000,8.889,192200,0.4458,NA,NA,501.1,1.095
verapamil,81,196.2,1.287,NA,NA,NA,NA,35360,7.907,470700,0.4042,NA,NA,511.8,1.085
verapamil,81,186.5,1.265,NA,NA,NA,NA,141100000,3.409,13940,0.7691,NA,NA,540.9,1.021
verapamil,81,192.4,0.9223,NA,NA,NA,NA,154000,5.696,13940,0.7691,NA,NA,496.9,0.9691
verapamil,81,203.6,1.026,NA,NA,NA,NA,4.37E+08,2.348,2230,2.569,NA,NA,504.8,1.146
verapamil,81,211.8,1.083,NA,NA,NA,NA,74310,7.388,2230,2.569,NA,NA,521.7,1.007
verapamil,81,170.3,1.036,NA,NA,NA,NA,28710000,1.74,1868000,0.3547,NA,NA,496.5,0.9369
verapamil,81,198,1.129,NA,NA,NA,NA,24750,1.736,1029000,0.3286,NA,NA,514.5,1.078
verapamil,81,183,0.9035,NA,NA,NA,NA,31550,2.973,1029000,0.3286,NA,NA,506.6,1.068
verapamil,81,224.5,0.9599,NA,NA,NA,NA,2073000,7.663,1029000,0.3286,NA,NA,484.1,1.336
verapamil,81,196.1,1.215,NA,NA,NA,NA,1937000,0.6672,27110,0.6584,NA,NA,581.7,1.17
verapamil,81,225.6,0.7936,NA,NA,NA,NA,2113000,0.7044,9371,1.214,NA,NA,484.7,0.9898
verapamil,81,188,1.179,NA,NA,NA,NA,2113000,0.7044,8511000,4.806,NA,NA,463.6,1.045
verapamil,81,182.6,1.122,NA,NA,NA,NA,2113000,0.7044,37440000,4.473,NA,NA,544.5,0.9801
verapamil,81,211.2,1.167,NA,NA,NA,NA,15080000,8.343,2105,2.049,NA,NA,477.6,1.08
verapamil,81,215.9,1.093,NA,NA,NA,NA,7034,9.614,1516,3.533,NA,NA,473.9,0.9546
verapamil,81,199.5,1.082,NA,NA,NA,NA,43330,7.074,1516,3.533,NA,NA,453.2,0.9801
verapamil,81,236.3,1.068,NA,NA,NA,NA,4828000,0.7502,7534,1.312,NA,NA,465.3,0.9803
verapamil,81,234.4,0.9871,NA,NA,NA,NA,4459000,0.6814,3338,2.019,NA,NA,525.8,0.8888
verapamil,81,224.2,0.8347,NA,NA,NA,NA,207700,1.082,32130000,1.756,NA,NA,526.3,1.024
verapamil,81,208.6,1.07,NA,NA,NA,NA,1055000,4.836,1698,7.204,NA,NA,517.3,1.115
verapamil,81,181.1,1.085,NA,NA,NA,NA,7569000,2.008,3218,2.052,NA,NA,509.2,1.144
verapamil,81,189.9,1.014,NA,NA,NA,NA,89800,1.515,10570,1.05,NA,NA,470.6,1.179
verapamil,81,173.6,1.252,NA,NA,NA,NA,6.88E+09,0.4011,39050,0.6395,NA,NA,490,1.143
verapamil,81,207.9,1.097,NA,NA,NA,NA,6.88E+09,0.4011,29460,0.6493,NA,NA,484.8,1.089
verapamil,81,244.6,0.9578,NA,NA,NA,NA,6.88E+09,0.4011,5835,1.19,NA,NA,502.8,1.017
verapamil,81,232,1.207,NA,NA,NA,NA,8.59E+09,0.3086,8018000,0.3245,NA,NA,468.2,1.128
verapamil,81,180.9,1.201,NA,NA,NA,NA,8.59E+09,0.3086,8018000,0.3245,NA,NA,516.1,1.009
verapamil,81,190.7,0.9935,NA,NA,NA,NA,8.59E+09,0.3086,8018000,0.3245,NA,NA,519.1,0.9434
verapamil,81,176.8,1.223,NA,NA,NA,NA,2573,5.477,8018000,0.3245,NA,NA,473.6,0.9867
verapamil,81,241.1,0.916,NA,NA,NA,NA,2782,5.065,104100000,0.2427,NA,NA,378,1.096
verapamil,81,173.9,1.221,NA,NA,NA,NA,3131,6.332,104100000,0.2427,NA,NA,491.5,0.9025
verapamil,81,183.9,1.005,NA,NA,NA,NA,461800000,1.482,13780,0.8396,NA,NA,468.2,1.042
verapamil,81,209.3,1.405,NA,NA,NA,NA,85510000,2.911,8.78E+09,7.455,NA,NA,458,1.06
verapamil,81,211.3,1.147,NA,NA,NA,NA,3636000,0.781,41240,4.539,NA,NA,563.3,1.377
verapamil,81,204.1,1.179,NA,NA,NA,NA,2941000,1.247,1758,3.478,NA,NA,498.7,1.064
verapamil,81,160.7,1.157,NA,NA,NA,NA,567600000,1.569,2289,3.297,NA,NA,430.2,1.03
verapamil,81,233.9,0.9772,NA,NA,NA,NA,7827,2.456,2289,3.297,NA,NA,535.3,1.25
verapamil,81,236.6,1.049,NA,NA,NA,NA,13810,2.312,90440,1.324,NA,NA,509.7,1.248
verapamil,81,220.2,1.038,NA,NA,NA,NA,109500,1.244,10260000,2.962,NA,NA,488.7,1.042
verapamil,81,159.7,1.241,NA,NA,NA,NA,13920,4.752,4554000,1.142,NA,NA,523.5,0.979
verapamil,81,182.4,0.941,NA,NA,NA,NA,1.34E+09,4.062,64450,4.167,NA,NA,480.8,1.127
verapamil,81,173.7,1.139,NA,NA,NA,NA,8468000,9.243,3656,8.036,NA,NA,482.9,1.044
verapamil,81,215.1,1.155,NA,NA,NA,NA,595600000,7.447,688900,1.454,NA,NA,436.9,1.093
verapamil,81,213.2,1.116,NA,NA,NA,NA,903900000,0.4723,5482,1.29,NA,NA,467.9,1.099
verapamil,81,201.3,1.143,NA,NA,NA,NA,91490000,3.242,3847,1.528,NA,NA,544,1.127
verapamil,81,184.1,1.196,NA,NA,NA,NA,19650,7.751,89970,0.4851,NA,NA,561.8,1.051
verapamil,81,189.3,1.13,NA,NA,NA,NA,2106000,3.374,58550,0.6745,NA,NA,512.5,1.205
verapamil,81,194.7,1.048,NA,NA,NA,NA,2.83E+09,0.4702,5551000,0.2966,NA,NA,465.7,1.023
verapamil,81,206.7,1.06,NA,NA,NA,NA,2.83E+09,0.4702,5551000,0.2966,NA,NA,480.4,0.9946
verapamil,81,189.7,1.079,NA,NA,NA,NA,3.93E+08,4.695,15400000,0.2381,NA,NA,488.9,1.183
verapamil,81,151.9,1.028,NA,NA,NA,NA,3.82E+09,7.508,198900000,0.8153,NA,NA,521.8,1.118
verapamil,81,183,1.361,NA,NA,NA,NA,31080,7,2381,8.421,NA,NA,440.7,0.9331
verapamil,81,200.8,1.351,NA,NA,NA,NA,201800,2.273,22030000,9.797,NA,NA,598.7,1.008
verapamil,81,188.7,1.198,NA,NA,NA,NA,42780,5.757,124700,1.19,NA,NA,498.8,1.177
verapamil,81,201.7,1.874,NA,NA,NA,NA,208500000,1.83,232400000,0.8532,NA,NA,465.6,1.246
