drug_name,conc,ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
terfenadine,4,636,0.7468,NA,NA,NA,NA,4545,0.9723,13770,0.5928,NA,NA,25.79,0.5569
terfenadine,4,772.8,0.6337,NA,NA,NA,NA,2958,1.352,4101,1.057,NA,NA,18.5,0.6195
terfenadine,4,790.3,0.6739,NA,NA,NA,NA,2213,1.65,4885,1.346,NA,NA,19.95,0.5244
terfenadine,4,610.7,0.6954,NA,NA,NA,NA,2942,1.438,2496,1.561,NA,NA,26.31,0.7213
terfenadine,4,664.8,0.6503,NA,NA,NA,NA,2504,1.573,3142,1.56,NA,NA,12.87,0.4863
terfenadine,4,713.4,0.6467,NA,NA,NA,NA,2889,1.198,2923,1.561,NA,NA,21.75,0.557
terfenadine,4,667.3,0.6658,NA,NA,NA,NA,3561,1.183,13310,0.7539,NA,NA,20.38,0.6481
terfenadine,4,797.8,0.6139,NA,NA,NA,NA,4551,1.069,5155,0.9562,NA,NA,12.55,0.7216
terfenadine,4,774.9,0.6544,NA,NA,NA,NA,7164,0.9225,4876,0.9631,NA,NA,12.22,0.5755
terfenadine,4,726.7,0.6499,NA,NA,NA,NA,10390,0.7467,13430,0.7087,NA,NA,14.81,0.7181
terfenadine,4,735.1,0.6268,NA,NA,NA,NA,1190,4.383,13210,0.6498,NA,NA,13.99,0.9379
terfenadine,4,635,0.7452,NA,NA,NA,NA,1294,3.87,10300,0.7876,NA,NA,14.02,0.9767
terfenadine,4,662.2,0.6892,NA,NA,NA,NA,1258,4.084,85030,0.4083,NA,NA,24.89,0.7142
terfenadine,4,757.4,0.7042,NA,NA,NA,NA,1433,3.547,48520,0.4823,NA,NA,15.44,0.6151
terfenadine,4,710.3,0.6787,NA,NA,NA,NA,1919,2.197,8365,0.9481,NA,NA,33.59,0.7624
terfenadine,4,647,0.6354,NA,NA,NA,NA,2765,1.773,18310,0.6636,NA,NA,16.45,0.5529
terfenadine,4,636.5,0.658,NA,NA,NA,NA,2701,1.38,4138,1.054,NA,NA,12.39,0.5061
terfenadine,4,676.3,0.6851,NA,NA,NA,NA,2034,1.997,6224,0.9278,NA,NA,12.15,0.5609
terfenadine,4,720.8,0.6653,NA,NA,NA,NA,1298,3.743,54590,0.4809,NA,NA,29.63,0.7069
terfenadine,4,677.7,0.6899,NA,NA,NA,NA,1106,5.92,43960,0.4845,NA,NA,19.69,0.6117
terfenadine,4,633.5,0.6957,NA,NA,NA,NA,1120,5.352,13500,0.6701,NA,NA,19.35,0.5205
